Date,File,Change Type,Lines Changed,What Changed,Explanation (Feynman),Synced to EC2 Disk,Container Running New Code
2026-04-18,marauder-scan-complete/deploy_to_ec2.sh,NEW,All,Created full Mac-side deploy script — lists/creates EC2 instances key pairs security groups SCP codebase bootstraps Docker IAM instance profile scoped policy,"Think of it as a moving company truck driver script. You run it on your Mac. It finds or creates the EC2 house, packs up all the code boxes, drives them over, unpacks and sets up the house, and hands the EC2 an ID card (IAM role) so it can talk to AWS on its own.",N/A - runs from Mac,N/A
2026-04-18,marauder-scan-complete/prereqs.sh,NEW,All,Created EC2-side setup script — creates S3 SNS IAM VPC Flow Logs generates .env packetbeat.yml agent/config.json grafana datasources,"Think of it as the interior decorator. Once the moving truck drops the boxes in the EC2 house, this script sets up all the rooms — storage closet (S3), alarm system (SNS), plumbing (VPC Flow Logs), and writes the instruction manual (.env) so the scanner knows where everything is.",Y - SCP'd to EC2,N/A - runs as script not container
2026-04-18,marauder-scan-complete/shutdown.sh,NEW,All,Created clean shutdown script — works from Mac via SSH or directly on EC2. Shows container status log snapshot stops containers offers stop or terminate EC2,"Like a restaurant closing checklist. Before locking up, check all tables (container status), read the last order receipts (logs), turn off the kitchen (docker-compose down), then decide whether to lock the door for the night (stop EC2) or demolish the building (terminate).",N/A - runs from Mac,N/A
2026-04-18,marauder-scan-complete/iam-policy.json,NEW,All,Created scoped IAM policy — S3 restricted to marauder-scan-* SNS IAM user EC2 describe CloudTrail Identity Center STS only. Replaced AdministratorAccess,"AdministratorAccess is giving a janitor a master key to every room in the building. This policy is giving them only the keys to the rooms they actually need — the storage room (S3) the alarm panel (SNS) and the visitor log (CloudTrail). No master key.",N/A - read by deploy script on Mac,N/A
2026-04-18,marauder-scan-complete/.gitignore,NEW,All,Created root gitignore — covers keys/ *.pem ghost-ai-scanner/.env packetbeat.yml agent/config.json grafana datasources Python cache macOS terraform,"If you accidentally commit your house key (*.pem) or bank account details (.env) to git, anyone who clones the repo gets them. This file tells git to look away from those files as if they dont exist.",N/A - local only,N/A
2026-04-18,marauder-scan-complete/ghost-ai-scanner/.gitignore,NEW,All,Created inner gitignore for ghost-ai-scanner — covers .env packetbeat.yml agent/config.json grafana s3.json Python cache regression reports,"Same as above but for the inner project folder. Belt and suspenders — two gitignores means even if someone runs git from inside ghost-ai-scanner/ the secrets still stay out.",N/A - local only,N/A
2026-04-19,ghost-ai-scanner/Dockerfile,MODIFIED,43-52,Replaced broken COPY .streamlit/config.toml || echo block with RUN printf that writes the file directly,"COPY is a Docker instruction — it runs at build time inside Docker. You cannot stick a shell || fallback after it like you can in bash. It is like telling a printer to print a page OR write it by hand if the printer breaks — printers cannot write by hand. Replaced with RUN printf which is pure shell and writes the config correctly.",Y - SCP'd to EC2,N - needs docker-compose up --build scanner
2026-04-19,ghost-ai-scanner/grafana/dashboards/marauder-overview.json,NEW,All,Created grafana/dashboards/ directory and starter dashboard JSON — AI alerts stat panel and findings table wired to the two provisioned datasources,"Dockerfile.grafana has a COPY grafana/dashboards/ instruction. If that folder does not exist the build fails — like telling a delivery driver to pick up boxes from a warehouse that hasnt been built yet. Created the warehouse with a starter dashboard inside.",Y - SCP'd to EC2,N - needs docker-compose up --build scanner
2026-04-19,ghost-ai-scanner/dashboard/ghost_dashboard.py,MODIFIED,457-468,Fixed fig_map.update_layout margin error — changed from update_layout(**PLOTLY_BASE margin=...) to update_layout(**{**PLOTLY_BASE margin:...}),"PLOTLY_BASE already has margin in it. Calling update_layout(**PLOTLY_BASE margin=dict(...)) is like telling someone your name twice in the same sentence — Python sees margin appear twice as a keyword and throws a tantrum. Using {**PLOTLY_BASE margin:...} merges them into one dict first so margin only appears once.",Y - SCP'd to EC2,N - needs docker-compose up --build scanner
2026-04-19,ghost-ai-scanner/dashboard/ghost_dashboard.py,MODIFIED,368-395,Added load_yesterday_summary() and load_pipeline_state() — two new cached functions that read real S3 data,"The dashboard was showing fake random numbers for deltas and pipeline stats. These two functions are like calling the actual bank for your balance instead of guessing. load_yesterday_summary reads yesterdays S3 summary JSON. load_pipeline_state reads the cursor state JSON that tracks how many files the scanner processed.",Y - SCP'd to EC2,N - needs docker-compose up --build scanner
2026-04-19,ghost-ai-scanner/dashboard/ghost_dashboard.py,MODIFIED,438-457,Replaced random.randint KPI deltas with real today-minus-yesterday calculations using load_yesterday_summary(),"The KPI cards were showing +12 vs yesterday +3 alerts but those were randomly generated every page load — a different lie each time. Now they compute real differences: todays total minus yesterdays total from actual S3 summaries. If the scanner hasnt run yet the delta is 0 not a random number.",Y - SCP'd to EC2,N - needs docker-compose up --build scanner
2026-04-19,ghost-ai-scanner/dashboard/ghost_dashboard.py,MODIFIED,841-876,Replaced random.randint Pipeline Health metrics with real values from cursor state and summary metadata,"Scan Lag was a random 1-4 min. Files Processed was a random 200-800. Dedup Rate was 60-85% random. All lies. Now: Scan Lag = minutes since cursor.last_processed_at. Files Processed = cursor.files_processed. Dedup Rate = SUPPRESS+DEDUP outcomes divided by total from summary. Last Build = summary.build_duration_seconds.",Y - SCP'd to EC2,N - needs docker-compose up --build scanner
2026-04-19,ghost-ai-scanner/src/bootstrap.py,MODIFIED,41-57,Fixed load_settings() to always inject MARAUDER_SCAN_BUCKET from env if settings.json exists but is missing ocsf_bucket key,"Imagine your config file has a section that says storage: {} — it exists but the bucket name line is missing. The old code said if the file exists at all use it as-is. So bucket became empty string. Fix: after loading whatever is in S3 always check if ocsf_bucket is set and if not fill it in from the environment variable.",Y - SCP'd to EC2,N - needs docker-compose up --build scanner
2026-04-19,ghost-ai-scanner/src/ingestor/ingestor.py,MODIFIED,38,Added or store.bucket fallback — self._bucket = settings...ocsf_bucket or store.bucket,"The ingestor reads the bucket name once at startup from settings. If settings was missing ocsf_bucket the bucket was empty string forever. store.bucket is set directly from the environment variable and is always correct. Adding or store.bucket means: try settings first if that is empty fall back to the reliable source.",Y - SCP'd to EC2,N - needs docker-compose up --build scanner
2026-04-19,ghost-ai-scanner/src/threads.py,MODIFIED,46,Added ingestor._bucket = live...ocsf_bucket or store.bucket on every settings reload,"Every 5-minute scan cycle the scanner reloads settings from S3. The old code updated ingestor._settings but forgot to update ingestor._bucket. So even if settings were fixed mid-run the bucket stayed empty. Now every reload also refreshes the bucket — same fallback logic as the ingestor fix.",Y - SCP'd to EC2,N - needs docker-compose up --build scanner
